date,narration,debit,credit,balance
01-Apr-2024,Opening Balance,0,0,250000
02-Apr-2024,SALARY CREDIT ICICI BANK,0,85000,335000
03-Apr-2024,UPI/AMAZON SHOPPING,2500,0,332500
04-Apr-2024,NEFT/RENT PAYMENT,15000,0,317500
05-Apr-2024,ATM CASH WITHDRAWAL,10000,0,307500
07-Apr-2024,UPI/SWIGGY FOOD,450,0,307050
08-Apr-2024,EMI/HDFC HOME LOAN,22000,0,285050
10-Apr-2024,UPI/ELECTRICITY BILL,1800,0,283250
12-Apr-2024,NEFT/LIC PREMIUM,5000,0,278250
15-Apr-2024,UPI/GROCERY STORE,3200,0,275050
18-Apr-2024,INTEREST CREDIT,0,1200,276250
20-Apr-2024,UPI/PETROL,2000,0,274250
22-Apr-2024,ATM CASH WITHDRAWAL,5000,0,269250
25-Apr-2024,UPI/MEDICAL,1500,0,267750
28-Apr-2024,NEFT/MUTUAL FUND SIP,10000,0,257750
30-Apr-2024,UPI/RESTAURANT,1200,0,256550
02-May-2024,SALARY CREDIT ICICI BANK,0,85000,341550
03-May-2024,UPI/AMAZON SHOPPING,3200,0,338350
04-May-2024,NEFT/RENT PAYMENT,15000,0,323350
05-May-2024,ATM CASH WITHDRAWAL,10000,0,313350
08-May-2024,EMI/HDFC HOME LOAN,22000,0,291350
10-May-2024,UPI/ELECTRICITY BILL,1900,0,289450
14-May-2024,UPI/GROCERY STORE,2800,0,286650
18-May-2024,INTEREST CREDIT,0,1250,287900
20-May-2024,ATM CASH WITHDRAWAL,8000,0,279900
22-May-2024,NEFT/LIC PREMIUM,5000,0,274900
25-May-2024,UPI/MEDICAL,2200,0,272700
28-May-2024,NEFT/MUTUAL FUND SIP,10000,0,262700
30-May-2024,UPI/RESTAURANT,1800,0,260900
01-Jun-2024,SALARY CREDIT ICICI BANK,0,85000,345900
03-Jun-2024,UPI/AMAZON SHOPPING,1800,0,344100
04-Jun-2024,NEFT/RENT PAYMENT,15000,0,329100
05-Jun-2024,ATM CASH WITHDRAWAL,10000,0,319100
08-Jun-2024,EMI/HDFC HOME LOAN,22000,0,297100
10-Jun-2024,UPI/ELECTRICITY BILL,2100,0,295000
15-Jun-2024,UPI/GROCERY STORE,3500,0,291500
18-Jun-2024,INTEREST CREDIT,0,1300,292800
20-Jun-2024,ATM CASH WITHDRAWAL,5000,0,287800
22-Jun-2024,NEFT/LIC PREMIUM,5000,0,282800
25-Jun-2024,UPI/MEDICAL,800,0,282000
28-Jun-2024,NEFT/MUTUAL FUND SIP,10000,0,272000
30-Jun-2024,UPI/RESTAURANT,2200,0,269800
